JAN_CD,SYOHIN_NM,0,1,2,DAIBUNRUI_CD,DAIBUNRUI_NM,CHUBUNRUI_CD,CHUBUNRUI_NM,SHOBUNRUI_CD,SHOBUNRUI_NM,SAIBUNRUI_CD,SAIBUNRUI_NM
0000000000017,きゅうり（バラ）,6.10667,-0.22453056,-10.393649,800000.0,生鮮・惣菜,830000.0,生鮮野菜,830300.0,その他野菜,830303.0,きゅうり
0000000000024,☆キャベツ,8.295139,-9.345725,-11.654344,800000.0,生鮮・惣菜,830000.0,生鮮野菜,830100.0,葉茎菜,830101.0,キャベツ
0000000000208,キーウイフルーツ,0.3707589,0.5514583,1.7404271,800000.0,生鮮・惣菜,840000.0,果物,840100.0,生鮮果物,840115.0,キウイフルーツ
0000000000345,とうもろこし,0.3880098,-0.13155034,0.9212362,800000.0,生鮮・惣菜,830000.0,生鮮野菜,830300.0,その他野菜,830312.0,とうもろこし
00000000032211,販売用レジ袋　Mサイズ,0.4550947,-1.9120547,-14.6963005,,,,,,,,
00000000261862,ｻﾝﾃﾂｸ ﾄﾞﾃﾞｶｼﾔﾝﾌﾟｰ 2L,-6.226553,-4.992847,-13.560567,,,,,,,,
00000000290049,ｿﾌﾄ99 ﾇﾘﾇﾘｶﾞﾗｺ ﾃﾞｶﾏﾙ,-4.5010424,-4.9582167,-12.589368,,,,,,,,
00000000312014,CRC 5-56 320ML,-5.1430287,-4.8066273,-12.903591,,,,,,,,
00000000322423,ｻﾝﾃﾂｸ ｳｲﾝﾄﾞｳｵﾂｼﾔ- 2L,-5.221635,-5.032604,-12.762058,,,,,,,,
00000000322839,ｸﾘﾝﾋﾞﾕｰ ﾉｰﾀﾂﾁ UV 420ML,-5.9333153,-4.6529994,-13.01621,,,,,,,,
00000000322928,ﾉｰﾀﾂﾁUV #420 2ﾎﾝﾊﾟﾂｸ,-5.937539,-4.6368723,-13.000369,,,,,,,,
00000000400092,B NEXTRY 155/65R14 75S,-4.9187684,-7.476565,-9.234216,,,,,,,,
00000000413224,ｼﾕｱﾗｽﾀｰｶｰｼﾔﾝﾌﾟｰ1000,-6.267727,-4.9775815,-13.568324,,,,,,,,
00000000529651,ｿﾌﾄ99 ﾀﾞﾌﾞﾙｼﾞｪｯﾄｶﾞﾗｺ耐久強化,-4.4043837,-4.9533367,-12.587582,,,,,,,,
00000000529652,ｿﾌﾄ99 ｶﾞﾗｺﾐﾗｰｺｰﾄZERO,-4.377658,-4.970564,-12.564085,,,,,,,,
00000000548000,ｼｭｱﾗｽﾀｰ S-31ﾜｯｸｽｼｬﾝﾌﾟｰ,-5.92051,-4.9077444,-13.303981,,,,,,,,
00000000612660,AQ ﾏｲｸﾛﾌｧｲﾊﾞｰｸﾛｽ S 5枚,-1.7693956,-3.038363,-19.239204,,,,,,,,
00000000613434,AQ 除菌ｳｪｯﾄﾃｨｯｼｭ 80枚,-2.2879667,-3.7342424,-20.58638,,,,,,,,
00000000616331,AQ.ﾏｲｸﾛFｸﾛｽ S 5枚 ﾓﾀﾞﾝｶﾗｰ,-1.8648572,-3.0027864,-19.138893,,,,,,,,
00000000628996,ｿﾌﾄ99 ｶﾞﾗｺW ｴｺﾊﾟｳﾁﾊﾟﾂｸ2L,-4.5949836,-4.9683385,-12.607578,,,,,,,,
00000000790101,ｽﾁｰﾙ+ﾀｲﾔ交換工賃,-5.073135,-7.0986586,-8.851563,,,,,,,,
00000000790107,会員継続費,-5.249133,-7.432907,-8.594675,,,,,,,,
00000000790109,ﾌﾞﾚｰｷﾌﾙｰﾄﾞ全量交換工賃,-4.7868557,-7.905907,-8.573924,,,,,,,,
00000000790178,窒素ｶﾞｽ充填工賃,-5.1762795,-7.6052365,-9.006459,,,,,,,,
00000000790196,ｱﾙﾐ+ﾀｲﾔ交換工賃,-4.5309534,-7.207188,-8.827732,,,,,,,,
00000000790292,その他店車検基本(国産2年),-4.6401644,-7.6335616,-8.271786,,,,,,,,
00000000790653,夏 廃ﾀｲﾔ 処理料,-4.479648,-7.4033604,-8.922494,,,,,,,,
00000000790678,ﾀｲﾔｺﾞﾑﾊﾞﾙﾌﾞ交換工賃,-4.6927814,-7.7262087,-9.028308,,,,,,,,
00000000796320,ドライブレコーダ取付工賃,-4.8432646,-7.1074824,-8.509413,,,,,,,,
00000000798277,法定手数料,-4.8676944,-7.6035795,-8.175634,,,,,,,,
00000000799409,重量税,-5.0680623,-7.7732296,-8.334703,,,,,,,,
00000001420305,ｺｶﾞ ｸﾘｱｳｵﾂｼﾔｰ 2L,-4.9526935,-4.9653325,-12.661944,,,,,,,,
00000001481081,AQｽｸｰﾌﾟｵｲﾙ SN 0W-20 4L,-4.8811965,-7.1138844,-9.27159,,,,,,,,
00000001543514,AQ.油膜取りｳｫｯｼｬ 2L,-5.008436,-5.1108775,-12.458635,,,,,,,,
00000001599090,GML ｿﾌﾄﾊﾟｯｸﾃｨｯｼｭ 150ｸﾐ 5ﾊﾟｯｸ,-3.125053,0.76643366,-22.493563,,,,,,,,
00000001602474,MFﾀﾞｽﾀｰ ﾉﾋﾞﾉﾋﾞｵｿｳｼﾞﾓｯﾌﾟ,-0.943973,-3.61149,-19.021826,,,,,,,,
00000013310077,バイオフィニティ,-6.649266,-1.8899038,-11.0852785,,,,,,,,
0000006009007,挽きぐるみそば粉五割使用ざるそば,22.939844,-17.315453,1.1865792,800000.0,生鮮・惣菜,850000.0,惣菜,850100.0,主食的調理食品,850105.0,麺類
0000006009304,太麺ソース焼きそば,21.531097,-9.884645,-2.7640607,800000.0,生鮮・惣菜,850000.0,惣菜,850100.0,主食的調理食品,850105.0,麺類
0000007011245,グリルチキン（照焼き）１枚　６取,11.579774,3.3949203,-6.223963,800000.0,生鮮・惣菜,850000.0,惣菜,850200.0,その他の調理食品,850215.0,その他肉おかず
0000007011252,グリルチキン（ガーリック風）１枚　６取,11.817259,4.0266504,-5.9660697,800000.0,生鮮・惣菜,850000.0,惣菜,850200.0,その他の調理食品,850215.0,その他肉おかず
0000007059001,コク旨仕込薄衣鶏から揚　　２０取,13.642739,5.383109,-6.5498586,800000.0,生鮮・惣菜,850000.0,惣菜,850200.0,その他の調理食品,850213.0,からあげ
0000007059612,コク旨仕込薄衣鶏から揚小　４０取,13.535767,5.4362416,-6.4569235,800000.0,生鮮・惣菜,850000.0,惣菜,850200.0,その他の調理食品,850213.0,からあげ
0000007059629,コク旨仕込薄衣鶏から揚大　１６取,13.608785,5.36254,-6.5385966,800000.0,生鮮・惣菜,850000.0,惣菜,850200.0,その他の調理食品,850213.0,からあげ
0000007144912,厚切り鮭弁当　６取,28.363401,5.2580585,1.520777,800000.0,生鮮・惣菜,850000.0,惣菜,850100.0,主食的調理食品,850101.0,弁当
0000008020383,ホテルブレッド１／２本,14.596272,4.2436223,21.342949,100000.0,食　品,110000.0,加工食品,111300.0,パン・シリアル類,111301.0,食パン
0000008022127,湯種仕込みのしっとり食パン１斤,14.27115,4.3639226,21.086725,100000.0,食　品,110000.0,加工食品,111300.0,パン・シリアル類,111301.0,食パン
0000008022134,しあわせ食パン半斤,14.293713,3.8456306,20.847818,100000.0,食　品,110000.0,加工食品,111300.0,パン・シリアル類,111301.0,食パン
0000009670365,カレーパンＹＫ,17.480518,10.844019,6.74476,100000.0,食　品,110000.0,加工食品,111300.0,パン・シリアル類,111305.0,調理パン
0000010010004,デジタルプリント　ＤＳＣ・Ｌサ,-4.605668,-4.00669,-8.010144,,,,,,,,
0000010010024,ネットプリント　ＤＳＣ・Ｌサイ,-4.5977488,-3.980463,-7.9836273,,,,,,,,
0000045019517,大塚製薬　ポカリ・スエット　ペット　５００ｍｌ,-12.242803,-8.562852,-3.107581,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140323.0,スポーツドリンク
0000045044182,モンデリー　クロレッツＸＰシヤープミント　１４粒,-14.806976,17.694464,-6.6466227,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045075469,クロレッツＸＰ　オリジナルミント粒　１４粒,-13.961833,17.654549,-7.0094256,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045075476,クロレッツＸＰ　クリアミント　１４粒,-14.161026,18.200367,-6.84193,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045077333,興和　キューピーコーワゴールドＡ　２錠,-17.597713,-8.63882,11.280801,100000.0,食　品,190000.0,その他食品,190200.0,健康食品,190201.0,健康食品
0000045091520,プロビオヨーグルトＲ－１ドリンクＴ砂糖不使用１１２,-19.562037,-1.7997266,8.584843,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045091568,明治　プロビオヨーグルトＲ－１低脂肪　１１２ｇ,-20.156816,1.0371352,12.337738,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045104916,オハヨー乳業　ジャージー牛乳ソフト　１８０ｍｌ,-12.027608,6.238098,9.826746,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045116568,ロッテアイス　雪見だいふく　９４ｍｌ,-4.860272,9.10823,11.071089,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045117961,グリコ　牧場しぼり　ラムレーズン　１２０ｍｌ,-12.683717,10.426429,13.812097,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045126420,ロッテ　キシリトール　ライムミント　１４粒,-14.154175,17.512045,-6.115428,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045126437,ロッテ　キシリトール　フレッシュミント　１４粒,-14.473957,18.008358,-6.4250402,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045141157,ロッテ　のど飴　１１粒,-13.794578,11.9063635,-3.3149583,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000045141164,ロッテ　フルーツのど飴　１１粒,-13.691627,11.68305,-3.2027018,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000045147173,三立製菓　チョコバットエース　１本,-0.65343183,12.402638,6.0500436,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
